a,b,c,d,e,f,g,h,i,j,k,l,m
-12.0,-40.0,1172.0,437.0,-282.0,-18.0,0.0,34.070750000000004,16.296875000000004,-7.4169374999999995,10182.0,2633.0,1425147975.254668
-76.0,96.0,1192.0,444.0,-284.0,-60.0,0.0,4.277,0.0,-0.8456874999999995,10188.0,2634.0,1425147975.481733
-48.0,56.0,1136.0,446.0,-288.0,-62.0,0.0,-24.370500000000003,-2.1393749999999976,3.861812500000001,10189.0,2634.0,1425147975.708894
-72.0,-20.0,1136.0,443.0,-283.0,-55.0,0.0,-26.628000000000004,-10.040625,7.099312500000002,10184.0,2634.0,1425147975.935882
12.0,-144.0,1180.0,432.0,-280.0,-52.0,0.0,-12.88175,-8.658125,8.7880625,10181.0,2634.0,1425147976.162871
28.0,-64.0,1164.0,426.0,-283.0,-86.0,0.0,8.897000000000002,-2.1743749999999977,8.630562500000002,10177.0,2634.0,1425147976.389876
12.0,-140.0,1192.0,424.0,-293.0,-119.0,0.0,14.0595,5.271875000000003,9.234312500000003,10181.0,2634.0,1425147976.617391
32.0,80.0,1184.0,422.0,-287.0,-168.0,0.0,16.53575,14.433125000000004,5.673062500000002,10180.0,2634.0,1425147976.844497
20.0,220.0,1172.0,427.0,-280.0,-194.0,0.0,-21.474250000000005,3.1018750000000024,-31.181937500000004,10193.0,2634.0,1425147977.07201
0.0,4.0,1172.0,422.0,-280.0,-95.0,0.0,-7.378000000000001,1.701875000000002,-76.2094375,10177.0,2634.0,1425147977.299449
-8.0,-68.0,1148.0,389.0,-281.0,-1.0,0.0,-29.961750000000006,-15.080625,-71.2744375,10167.0,2634.0,1425147977.526424
40.0,-104.0,1152.0,320.0,-280.0,64.0,0.0,-6.713000000000001,-3.0318749999999977,-58.9281875,10168.0,2634.0,1425147977.754014
68.0,-64.0,1168.0,274.0,-286.0,99.0,0.0,8.932000000000002,0.0,-32.783187500000004,10186.0,2634.0,1425147977.981486
56.0,-28.0,1144.0,248.0,-284.0,103.0,0.0,0.0,-7.109374999999998,-20.0169375,10197.0,2634.0,1425147978.209167
72.0,-4.0,1124.0,225.0,-280.0,120.0,0.0,-11.263000000000002,-4.011874999999998,-12.0719375,10192.0,2634.0,1425147978.435996
104.0,-52.0,1124.0,223.0,-268.0,126.0,0.0,-16.933000000000003,-4.851874999999998,-0.6356874999999995,10197.0,2634.0,1425147978.663514
104.0,-88.0,1116.0,231.0,-255.0,142.0,0.0,-7.973000000000001,0.0,7.563062500000001,10200.0,2634.0,1425147978.890839
108.0,-104.0,1152.0,252.0,-257.0,132.0,0.0,3.0694999999999997,2.0081250000000024,13.7843125,10207.0,2634.0,1425147979.11787
