a,b,c,d,e,f,g,h,i,j,k,l,m,n
20.0,-36.0,1152.0,335.0,-456.0,-291.0,0.0,-0.25768750000000007,-0.42350000000000243,-0.22443749999999985,10110.0,2317.0,1425134319.347846,12.710325956344604
-64.0,100.0,1100.0,341.0,-454.0,-293.0,0.0,0.2848125,0.0,0.6680625,-83713.0,2315.0,1425134319.574554,12.937033891677856
-24.0,-104.0,1248.0,337.0,-453.0,-296.0,0.0,0.18856249999999997,0.0,-0.6969375,10109.0,2316.0,1425134319.801355,13.163834810256958
-16.0,20.0,1076.0,339.0,-441.0,-295.0,0.0,0.0,0.0,1.0005625,10108.0,2317.0,1425134320.028105,13.390584945678711
-32.0,124.0,1128.0,332.0,-450.0,-293.0,0.0,0.23231250000000003,0.0,-1.5194375,10108.0,2317.0,1425134320.254892,13.617372035980225
-40.0,-140.0,1220.0,334.0,-455.0,-286.0,0.0,0.8010625,0.0,-1.3006875,10110.0,2317.0,1425134320.481596,13.844075918197632
-52.0,48.0,1116.0,336.0,-447.0,-292.0,0.0,0.6873125,0.0,-5.4044375,10108.0,2317.0,1425134320.708558,14.071038007736206
0.0,-12.0,1156.0,327.0,-443.0,-285.0,0.0,0.0,0.0,0.8693125000000004,10107.0,2317.0,1425134320.935806,14.298285961151123
-20.0,-32.0,1184.0,331.0,-444.0,-294.0,0.0,-4.7376875,0.0,4.8243125000000004,10110.0,2317.0,1425134321.162435,14.524914979934692
-36.0,-88.0,1212.0,336.0,-439.0,-297.0,0.0,-5.0614375,0.0,1.5955625000000002,10111.0,2317.0,1425134321.389348,14.751827955245972
-16.0,-124.0,1212.0,337.0,-444.0,-298.0,0.0,0.23231250000000003,0.0,0.9918125,10108.0,2317.0,1425134321.617418,14.97989797592163
-8.0,12.0,1112.0,331.0,-436.0,-288.0,0.0,0.25856250000000003,0.0,-5.5356875,10109.0,2317.0,1425134321.843969,15.206449031829834
-64.0,-52.0,1208.0,334.0,-442.0,-293.0,0.0,0.5123125,0.5739999999999981,-1.0294375,10109.0,2317.0,1425134322.071442,15.433921813964844
-76.0,8.0,1176.0,325.0,-451.0,-287.0,0.0,0.3373125,0.0,-0.8369374999999999,10109.0,2317.0,1425134322.298295,15.660774946212769
-32.0,-12.0,1188.0,334.0,-457.0,-291.0,0.0,-0.28393750000000006,0.0,1.7530625000000004,10106.0,2317.0,1425134322.525521,15.888000965118408
-36.0,-24.0,1192.0,341.0,-444.0,-291.0,0.0,-4.9651875,0.0,1.8930625,10110.0,2317.0,1425134322.752448,16.114928007125854
-40.0,-120.0,1264.0,335.0,-452.0,-292.0,0.0,0.3635625,-0.5197500000000019,0.37931250000000016,10110.0,2317.0,1425134322.960772,16.323251962661743
-60.0,24.0,1136.0,335.0,-450.0,-297.0,0.0,0.0,0.5214999999999987,-1.0469375,10108.0,2317.0,1425134323.187451,16.549930810928345
-32.0,-56.0,1188.0,336.0,-437.0,-298.0,0.0,0.8010625,0.0,-2.0181875000000002,10110.0,2317.0,1425134323.414428,16.776907920837402
-48.0,-44.0,1164.0,335.0,-437.0,-291.0,0.0,-0.22268750000000004,0.0,-0.8544375,10107.0,2317.0,1425134323.641271,17.003751039505005
-36.0,-28.0,1120.0,327.0,-450.0,-292.0,0.0,0.0,-0.5722500000000021,1.8055625000000002,10110.0,2317.0,1425134323.868156,17.23063588142395
-40.0,-12.0,1156.0,338.0,-445.0,-294.0,0.0,-0.5814375,0.0,3.161812500000001,10109.0,2317.0,1425134324.094834,17.457314014434814
-40.0,-120.0,1244.0,336.0,-450.0,-296.0,0.0,0.0,-0.5022500000000019,0.9043125000000001,10109.0,2317.0,1425134324.321969,17.684448957443237
-28.0,-28.0,1168.0,325.0,-454.0,-294.0,0.0,0.0,0.0,-0.3206875,10109.0,2317.0,1425134324.54863,17.911109924316406
12.0,-96.0,1212.0,333.0,-447.0,-284.0,0.0,0.6435625,0.0,-0.4256875,10109.0,2317.0,1425134324.77536,18.137840032577515
-28.0,52.0,1120.0,331.0,-449.0,-298.0,0.0,0.0,-0.4410000000000025,0.0,10107.0,2317.0,1425134325.002109,18.364588975906372
28.0,-120.0,1184.0,334.0,-454.0,-298.0,0.0,0.21481249999999996,0.0,-1.3794374999999999,10109.0,2317.0,1425134325.228803,18.591282844543457
-36.0,-64.0,1172.0,340.0,-461.0,-290.0,0.0,0.4423125000000001,0.0,-0.8019375,10110.0,2317.0,1425134325.455524,18.81800389289856
-20.0,68.0,1068.0,335.0,-449.0,-297.0,0.0,-0.38018750000000007,0.0,-0.18943749999999993,10109.0,2317.0,1425134325.683123,19.045603036880493
-36.0,-80.0,1224.0,342.0,-445.0,-295.0,0.0,0.23231250000000003,0.0,-0.35568749999999993,10107.0,2318.0,1425134325.909894,19.272373914718628
-52.0,-24.0,1184.0,334.0,-444.0,-296.0,0.0,0.0,0.0,0.26556250000000015,10112.0,2318.0,1425134326.1366,19.499079942703247
-44.0,-4.0,1184.0,337.0,-446.0,-292.0,0.0,0.0,0.0,0.0,10110.0,2318.0,1425134326.363166,19.725646018981934
-44.0,4.0,1132.0,336.0,-442.0,-297.0,0.0,0.0,-0.42350000000000243,-0.2944374999999999,10108.0,2318.0,1425134326.592499,19.954978942871094
